name,type_of,member_of,attribute_type_set,relation_type_set,collection_set
Place,[],"[""factory_types""]",[],[],[]
Country,"[""Place""]","[""factory_types""]",[],[],[]
State,"[""Place""]","[""factory_types""]","[""state_code""]",[],[]
District,"[""Place""]","[""factory_types""]",[],"[""district_of""]",[]
Organization,[],"[""factory_types""]",[],[],[]
University,"[""Organization""]","[""factory_types""]","[""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code""]","[""organization_belongs_to_district"", ""organization_belongs_to_state"", ""organization_belongs_to_country"", ""affiliated_college""]",[]
College,"[""Organization""]","[""factory_types""]","[""enrollment_code"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code""]","[""organization_belongs_to_district"", ""organization_belongs_to_state"", ""organization_belongs_to_country""]",[]
NUSSD Course,"[""Course""]","[""factory_types""]","[""nussd_course_type""]",[],[]
Announced Course,"[""Course""]","[""factory_types""]","[""nussd_course_type"", ""start_time"", ""end_time"", ""ann_course_closure""]","[""announced_for"", ""acourse_for_college""]",[]
Caste,[],"[""factory_types""]",[],[],[]
Person,[],"[""factory_types""]",[],[],[]
Student,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""dob"", ""gender"", ""religion"", ""email_id"", ""languages_known"", ""signature"", ""user_photo"", ""mobile_number"", ""alternate_number"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""12_passing_year"", ""12_passing_certificate"", ""degree_name"", ""degree_specialization"", ""degree_year"", ""college_enroll_num"", ""registration_date"", ""is_nss_registered"", ""attendance_record"", ""performance_record"", ""cumulative_performance_report"", ""course_enrollment_status"", ""enrollment_code"",""aadhar_id""]","[""student_of_caste_category"", ""person_belongs_to_state"", ""person_belongs_to_district"", ""student_belongs_to_university"", ""student_belongs_to_college"", ""selected_course""]",[]
Voluntary Teacher,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""email_id"", ""languages_known"", ""signature"", ""user_photo"", ""mobile_number"", ""alternate_number"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications"", ""voln_tr_qualifications"", ""key_skills"", ""profession"", ""designation"", ""work_exp""]","[""person_belongs_to_state"", ""person_belongs_to_district"", ""trainer_teaches_course_in_college""]",[]
Master Trainer,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""email_id"", ""languages_known"", ""signature"", ""user_photo"", ""mobile_number"", ""alternate_number"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications"", ""mast_tr_qualifications""]","[""person_belongs_to_state"", ""person_belongs_to_district"", ""master_trainer_of_course"", ""master_trainer_of_university""]",[]
Faculty Coordinator,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country"", ""faculty_incharge_of_university"", ""faculty_incharge_of_college""]",[]
NSS Coordinator,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country""]",[]
Course Developer,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country"", ""developer_of_course""]",[]
Steering Committee Member,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country""]","[""Organization"", ""University"", ""College"", ""Course"", ""NUSSD Course"", ""Announced Course"", ""Person"", ""Partners"", ""Program Manager"", ""Steering Committee Member"", ""Faculty Coordinator"", ""Program Officer"", ""NSS Coordinator"", ""Course Developer"", ""Master Trainer"", ""Voluntary Teacher"", ""Student"", ""Enrollment"", ""StudentCourseEnrollment""]"
Program Officer,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country"", ""officer_incharge_of""]","[""Person"", ""Student"", ""Enrollment"", ""StudentCourseEnrollment""]"
Program Manager,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country""]",[]
Partners,"[""Person""]","[""factory_types""]","[""first_name"", ""middle_name"", ""last_name"", ""gender"", ""dob"", ""religion"", ""languages_known"", ""mobile_number"", ""alternate_number"", ""email_id"", ""house_street"", ""village"", ""taluka"", ""town_city"", ""pin_code"", ""degree_name"", ""degree_specialization"", ""degree_passing_year"", ""other_qualifications""]","[""person_belongs_to_district"", ""person_belongs_to_state"", ""person_belongs_to_country""]",[]
Event,[],"[""GAPP""]","[""start_time"", ""end_time"", ""event_status"",""is_bigbluebutton"", ""open_event""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Inauguration,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Field Visit,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Meeting,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Orientation,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Master Trainer Program,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Training of Teachers,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Course Developers Meeting,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Session,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Classroom Session,"[""Event""]","[""factory_types""]","[""nussd_course_type"", ""start_time"", ""end_time"", ""reschedule_attendance"", ""marks_entry_completed"", ""event_edit_reschedule"", ""event_attendance_task"", ""event_date_task""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended"", ""event_has_batch"", ""session_of""]",[]
Lab Session,"[""Event""]","[""factory_types""]","[""start_time"", ""end_time""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended""]",[]
Exam,"[""Event""]","[""factory_types""]","[""nussd_course_type"", ""start_time"", ""end_time"", ""reschedule_attendance"", ""marks_entry_completed"", ""event_edit_reschedule"", ""event_attendance_task"", ""event_date_task""]","[""event_organised_by"", ""event_coordinator"", ""has_attendees"", ""has_attended"", ""event_has_batch"", ""session_of""]",[]
Enrollment,[],"[""factory_types""]",[],[],[]
StudentCourseEnrollment,"[""Enrollment""]","[""factory_types""]","[""nussd_course_type"", ""start_enroll"", ""end_enroll"", ""enrollment_status"", ""has_enrollment_task"", ""has_approval_task""]","[""for_acourse"", ""for_college"", ""for_university"", ""has_current_approval_task""]",[]
MIS,[],"[""GAPP""]",[],[],"[""Organization"", ""University"", ""College"", ""Course"", ""NUSSD Course"", ""Announced Course"", ""Person"", ""Partners"", ""Program Manager"", ""Steering Committee Member"", ""Faculty Coordinator"", ""Program Officer"", ""NSS Coordinator"", ""Course Developer"", ""Master Trainer"", ""Voluntary Teacher"", ""Student"", ""Enrollment"", ""StudentCourseEnrollment""]"
MIS-PO,[],"[""GAPP""]",[],[],"[""Person"", ""Voluntary Teacher"", ""Student""]"
CourseSection,[],"[""factory_types""]",[],[],[]
CourseSubSection,[],"[""factory_types""]","[""course_structure_minutes"", ""course_structure_assignment"", ""course_structure_assessment"", ""min_marks"", ""max_marks""]",[],[]
CourseUnit,[],"[""factory_types""]",[],[],[]
GListItem,[],"[""factory_types""]",[],[],[]
CourseSectionEvent,[],"[""factory_types""]",[],[],[]
CourseSubSectionEvent,[],"[""factory_types""]","[""course_structure_minutes"", ""course_structure_assignment"", ""course_structure_assessment"", ""min_marks"", ""max_marks""]",[],[]
CourseUnitEvent,[],"[""factory_types""]",[],[],[]
QuizItemEvent,"[""QuizItem""]","[""factory_types""]","[""quizitem_show_correct_ans"",""quizitem_problem_weight"" ,""quizitem_max_attempts"" ]","[""clone_of"", ""translation_of""]",[]
QuizItemPost,"[""Reply""]","[""factory_types""]","[""quizitempost_user_submitted_ans"", ""quizitempost_user_checked_ans""]",[],[]
Jhapp,[],"[""factory_types""]",[],[],[]
Jsmol,"[""Jhapp""]","[""factory_types""]",[],[],[]
TurtleBlocks,"[""Jhapp""]","[""factory_types""]",[],[],[]
Asset,[],"[""factory_types""]",[],"[""has_assetcontent""]",[]
PoliceSquad,"[""Jhapp""]","[""factory_types""]",[],[],[]
OpenStoryTool,"[""Jhapp""]","[""factory_types""]",[],[],[]
BioMechanics,"[""Jhapp""]","[""factory_types""]",[],[],[]
Template,"[""Page""]","[""factory_types""]",[],[],[]
base_unit,[],"[""factory_types""]","[""educationalsubject"", ""educationallevel"",  ""assessment_list""]",[],[]
lesson,[],"[""factory_types""]",[],[],[]
activity,[],"[""factory_types""]",[],[],[]
announced_unit,[],"[""factory_types""]","[""educationalsubject"", ""educationallevel"", ""start_time"", ""end_time"", ""start_enroll"", ""end_enroll"", ""assessment_list"", ""total_assessment_items""]",[],[]
trans_node,[],"[""factory_types""]","[""options""]",[],[]
base_survey,[],"[""factory_types""]",[],[],[]
announced_survey,[],"[""factory_types""]","[""start_time"", ""end_time"", ""start_enroll"", ""end_enroll""]",[],[]
