thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCalenderFun.png,CalenderFun.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CalenderFun.mp4,कॅलेन्डर फन,,Calender Fun ,,XCR,0,या कार्यक्रमामध्ये दिनदर्शिका मध्ये गणिताची गमती जमती ची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॅलेन्डर फन, दिनदर्शिका, बेरीज, गुणाकार",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCanTilt.png,CanTilt.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CanTilt.mp4,कॅन टिल्ट,,Can Tilt ,,XCR,0,या कार्यक्रमामध्ये संतुलित उभे राहणार कोको कोला डबे चा प्रयोग करून दाखविले आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॅन टिल्ट, कात्री, स्टील बॉल",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCandleFun.png,CandleFun.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CandleFun.mp4,कॅण्डल फन,,Candle Fun ,,XCR,0,या कार्यक्रमामध्ये मेणबत्ती चा प्रयोग करून दाखवले आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॅण्डल फन, मेणबत्ती",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCandleSeeSaw.png,CandleSeeSaw.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CandleSeeSaw.mp4,कॅण्डल सी सॉ,,Candle See Saw ,,XCR,0,या कार्यक्रमामध्ये मेणबत्ती चा प्रयोग करून मेणबत्ती चा सी सॉ करून दाखवले आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॅण्डल सी सॉ, मेणबत्ती, कप  ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCapTikiTiki.png,CapTikiTiki.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CapTikiTiki.mp4,केप टिकी टिकी,,Cap Tiki Tiki ,,XCR,0,या कार्यक्रमामध्ये केप टिकी टिकी खेळणी बाणवनेची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, केप टिकी टिकी, बॉटल कॅप्स, कात्री, डोरा, रबर बँड",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCapillaryAction.png,CapillaryAction.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CapillaryAction.mp4,कैपलेरी ऐक्शन,,Capillary Action ,,XCR,0,या कार्यक्रमामध्ये कैपलेरी ऐक्शन चा प्रयोग करून दाखविले आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कैपलेरी ऐक्शन, कलर वॉटर, पेपर क्लिप्स, मिक्रोस्कोप स्लाइड ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCatapultParachute.png,CatapultParachute.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CatapultParachute.mp4,कॅटापुल्ट पेराशुट,,Catapult Parachute ,,XCR,0,या कार्यक्रमामध्ये पेराशुट ची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॅटापुल्ट पेराशुट, पेराशुट",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCdGyro.png,CdGyro.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CdGyro.mp4,सीडी गायरो,,Cd Gyro ,,XCR,0,या कार्यक्रमामध्ये जुनी सीडी पासून गायरसकोप बाणवनेची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, सीडी गायरो, डोरा, डिंक ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCdHovercraft.png,CdHovercraft.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CdHovercraft.mp4,सीडी हॉव्हरकराफ्ट,,Cd Hovercraft ,,XCR,0,या कार्यक्रमामध्ये जुनी सीडी पासून हॉव्हरकराफ्ट बाणवनेची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, सीडी हॉव्हरकराफ्ट, डिंक, फुगा",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCelestialCraters.png,CelestialCraters.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CelestialCraters.mp4,सेलेस्टील कॅरेटर्स,,Celestial Craters ,,XCR,0,या कार्यक्रमामध्ये चांद्रावरील खड्डे बाणवनेची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, सेलेस्टील कॅरेटर्स , डिंक, फुगा",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCentrifugalPump.png,CentrifugalPump.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CentrifugalPump.mp4,सेन्ट्रिफुगल पंप,,Centrifugal Pump ,,XCR,0,या कार्यक्रमामध्ये केंद्रोत्सारी बलाचे प्रयोग करून त्याची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, सेन्ट्रिफुगल पंप, बॉल",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCentrifugeSprinkler.png,CentrifugeSprinkler.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CentrifugeSprinkler.mp4,सेन्ट्रिफुगल स्प्रिंकलर,,Centrifuge Sprinkler ,,XCR,0,या कार्यक्रमामध्ये सेन्ट्रिफुगल स्प्रिंकलर बाणवनेची माहिती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, सेन्ट्रिफुगल स्प्रिंकलर, डिंक, प्लस्टिक बॉटल",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnChemicalColourChange.png,ChemicalColourChange.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ChemicalColourChange.mp4,केमिकल कलर चेंज,,Chemical Colour Change ,,XCR,0,या कार्यक्रमामध्ये कैल्सीअम हाइड्राक्साइड आणि फिनोल्फथेली पावडर एकत्रित केल्यावर त्यांचा मध्ये झालेला बदल ची माहिती सांगितली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, केमिकल कलर चेंज, कैल्सीअम हाइड्राक्साइड, फिनोल्फथेली ",,,,,,,,,,CC BY-SA,,,
