thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
,,http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/TITLE.jpg,"Birds; CIET, NCERT","Birds; CIET, NCERT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Spotted-Deer.png,A herd of Spotted deer.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/A herd of Spotted deer.pdf,A herd of Spotted deer ,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Spotted Deer ",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Spotted Deer,Axis axis,chital or cheetal and axis deer",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Ashy-crowned-Sparrow-Lark.png,Ashy-crowned Sparrow Lark.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Ashy-crowned Sparrow Lark.pdf,Ashy-crowned Sparrow Lark,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Bird",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"ASHY-CROWNED SPARROW-LARK,Eremopterix griseus ,Ash-crowned sparrow-lark, ashy-crowned finchlark, black-bellied finch-lark, and black-bellied sparrow-lark ",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Asian-Elephants.png,Asian Elephant.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Asian Elephant.pdf,Asian Elephant,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Asian Elephant ",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Asian orAsiatic elephant ,Elephas maximus ",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Asian-Elephants_1.png,Asian Elephants 1.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Asian Elephants 1.pdf,Asian Elephants ,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Asian Elephant ",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Asian Elephants,Elephas maximus ,Asiatic Elephant ",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Asian-openbill-or-Asian-openbill-stork.png,Asian Openbill.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Asian Openbill.pdf,Asian Openbill ,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Bird ",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Asian openbill or Asian openbill stork , Anastomus oscitans ",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Bengal-Monitor-Lizard.png,Bengal Monitor Lizard.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Bengal Monitor Lizard.pdf,Bengal Monitor Lizard,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Bengal Monitor Lizard",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Bengal monitor ,Varanus bengalensis ",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Black-Francolin.png,Black Francolin.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Black Francolin.pdf,Black Francolin ,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Bird",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Black Francolin ,Francolinus francolinus,Black Partridge, Kaala Teetar ",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Black-headed-Gull.png,Black-headed Gull.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Black-headed Gull.pdf,Black-headed Gull ,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Bird ",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Black-headed Gull ,Chroicocephalusbrunnicephalus",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/86 Bird PDF/Birds Thumbnail/Black-headed-Ibis.png,Black-headed Ibis.pdf,http://14.139.250.101/nroer-new/86 Bird PDF/PDF/Black-headed Ibis.pdf,Black-headed Ibis ,,,"Birds; CIET, NCERT",XCR,0,"Teachers can create awareness about the species
Students will be able to learn about the Habitat and more information of Bird",,"('en', 'English')",All,Geography ,"Upper Primary, Secondary and Senior Secondary","Teachers, Students and Teacher educators",Documents,Expositive,"CIET, NCERT",,"Black-Headed ibis,Threskiornis melanocephalus ,Oriental white ibis ",,,,,,,,,,CC BY-SA,,,
