thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aadhunik Kaal Hindi Saahitya Ka Itihaas Maithili Sharan Gupt.png,Aadhunik Kaal Hindi Saahitya Ka Itihaas Maithili Sharan Gupt.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aadhunik Kaal Hindi Saahitya Ka Itihaas Maithili Sharan Gupt.mp3,आधुनिक काल  मैथिली शरण गुप्त,,Aadhunik kaal  Maithilisharan Gupt,,XCR,0,यह कार्यक्रम हिंदी के एक आधुनिक कवि मैथिली शरण गुप्त के साहित्य  पर आधारित है| इन्हें खड़ीं बोली की कविता के लिए जाना जाता है जिसकी चर्चा की है| इन्हें पद्म भूषण से सम्मानित किया गया|,"The program is based on the poetic contribution of Maithilisharan Gupt, the great Hindi poet. He was awarded with Padma Bhushan for his remarkable contribution.","('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"मैथिली शरण गुप्त , हिन्दी कवि , हिन्दी साहित्य , पद्म भूषण ,Maithili Sharan Gupt, Hindi Poet, Padma Bhushan",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aadhunik Kaalke Antargat Kavita Chhayawad.png,Aadhunik Kaalke Antargat Kavita Chhayawad.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aadhunik Kaalke Antargat Kavita Chhayawad.mp3,आधुनिक काल के अंतर्गत कविता  छायावाद,,Aadhunik Kaal Ke Antargat Kavita Chhayawad,,XCR,0,"इस कार्यक्रम में आधुनिक काल खंड में छायावादी कवियों में आये बदलाव, कवियों और उनकी रचनाओं के विषय में चर्चा की गयी है|","This program discusses the changes in the chayawadi poem, poets and their compositions in the modern period of time.","('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"आधुनिक काल, कविता, छायावाद, Poem, Chayawad, Romanticism",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aadhunik Kaalke Antargat Prayogwaad.png,Aadhunik Kaalke Antargat Prayogwaad.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aadhunik Kaalke Antargat Prayogwaad.mp3,आधुनिक काल के अंतर्गत प्रयोगवाद ,,Aadhunik Kaal Ke Antargat Prayogwaad,,XCR,0,इस कार्यक्रम में आधुनिक काल में प्रयोगवादी रचनाओं के बारे में  चर्चा की गयी है|,This program has been discussed about experimental compositions in modern times.,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"आधुनिक काल, कविता, प्रयोगवाद, Poem, Prayogwad, Experimentalism",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aadhunik Kaalke Antargat Swatantryottar Yugmein Kavita.png,Aadhunik Kaalke Antargat Swatantryottar Yugmein Kavita.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aadhunik Kaalke Antargat Swatantryottar Yugmein Kavita.mp3,आधुनिक काल के अंतर्गत स्वातंत्रयोत्तर युग में कविता,,Aadhunik Kaal ke Antargat Swatantryottar Yug mein Kavita,,XCR,0,इस कार्यक्रम में आधुनिक काल खंड में स्वतंत्रता के पश्च्यात कविता रचनाओं में आये बदलाव और उनके विकास के सन्दर्भ में चर्चा की गयी है|,"This program has been discussed in the context of changes in poetry compositions and their development in the modern period, after independence.","('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"आधुनिक काल, कविता,  स्वतंत्रता, Poem, Freedom, Independence",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aankh3.png,Aankh3.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aankh3.mp3,आँख 3,,Aankh3,,XCR,0,यह कार्यक्रम आँखों के महत्त्व और उनकी उचित देखभाल के बारे में सामान्य जानकारी देता है ,Thisn programme talks about importance of eyes and  emphesyses on its care. ,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"आँख, स्वास्थ्य,eyes, health,",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aankh4.png,Aankh4.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aankh4.mp3,आँख 4,,Aankh4,,XCR,0,यह कार्यक्रम आँखों के महत्त्व और उनकी उचित देखभाल के बारे में सामान्य जानकारी देता है ,Thisn programme talks about importance of eyes and  emphesyses on its care.,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"आँख, स्वास्थ्य,eyes, health,",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Aao Milkar Seekhein Aao Milkar Gayaan Ei Matere Maroh Mate Geet.png,Aao Milkar Seekhein Aao Milkar Gayaan Ei Matere Maroh Mate Geet.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Aao Milkar Seekhein Aao Milkar Gayaan Ei Matere Maroh Mate Geet.mp3,आओ मिलकर सीखें आओ मिलकर गाएँ,,Aao Milkar Seekhein Aao Milkar Gayaan,,XCR,0,ये देशभक्ति के गीतों का सामूहिक गायन है जिसके द्वारा बच्चों में देशभक्ति की भावना को अंकुरित करने का प्रयास किया गया है .,This program is based on the patriotic songs inspiring children to love the nation.,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"देश , स्वतन्त्र ,Country, Freedom",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Angulimal.png,Angulimal.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Angulimal.mp3,अंगुलिमाल ,,Angulimal,,XCR,0,भाषा शिक्षण का यह कार्यक्रम एक डाकू अंगुलिमाल की  गाथा प्रस्तुत करता है जो महात्मा बुद्ध के सम्पर्क में आने के बाद बुरे कार्य छोड़कर सत्य की राह अपनाता है ।, This program is based on the language learning with purpose to develop listening and language skill among children,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"गणित,समय,घड़ी,,Mathematics, Time, Clock, Watch",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Apne Gaanvonko Jananaa.png,Apne Gaanvonko Jananaa.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Apne Gaanvonko Jananaa.mp3,अपने गाँव को जानना ,,Apne Gaanvonko Jananaa,,XCR,0,सामाजिक विज्ञान पर आधारित यह कार्यक्रम हमें हमारे गाँवों के विषय में जानकारी देता है ,Geography based this programme talks about the unique identities of a village.,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"गाँव,ग्रामीण,सामाजिक,Village, Rural,Social",,,,,,,,,,CC BY-SA,,,
http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Thumbnail/Audyokik Samoohan 1.png,Audyokik Samoohan – 1.mp3,http://14.139.250.101/nroer-new/XCR/Audio/CIET 1/Audyokik Samoohan 1.mp3,औद्योगिक समूहन - 1,,Audyokik Samoohan - 1,,XCR,0,यह कार्यक्रम मूलतः एक भूगोल वार्ता है जिसके द्वारा भूगोल का विषय विस्तार समझाया गया है तथा उससे सम्बंधित अनेकानेक विषयों पर चर्चा की गयी है .,This program is a talk on different subject areas of Geography.,"('hi','Hindi')",All,Language ,Secondary,"Teachers, Students and Teacher educators",Audios,Expositive,"CIET, NCERT",,"भूगोल , महादेश ,Geography , Continent ",,,,,,,,,,CC BY-SA,,,
