thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
,,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/cc08DramaAndTeachingOfEnglish.png,Primary Teacher; April 2009; NCERT ,Primary Teacher; April 2009; NCERT ,,,XCR,0,Primary Teacher; April 2009 Journal published by NCERT ,,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"teachers, students, conventional, methods, assessment, drama, teaching, learning, joyful, development, second, language, English, Butterflies, child, rights, facilitator, curriculum, difference, equal, inclusion, special, education, teaching, learning, under privileged, children, 3Rs, arithmetic, reading, writing, ECE, early childhood, primary, school,  learning, role, school, education, teacher, interdependent, Marjorie, Sykes, educationist, India, Quaker movement, education, primary, school, teacher, teaching, poetry, activities, class 5, learning, fun, primary, school, teacher, teaching, poetry, activities, class 5, learning, fun , primary, school, teacher, teaching, poetry, activities, class 5, learning, fun, constructing, knowledge, language, development, childhood, NCF",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn01WatchingAyrieContructKnowledge.png,01WatchingAyrieContructKnowledge.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/01WatchingAyrieContructKnowledge.pdf,01 Watching Ayrie Construct Knowledge,,,Primary Teacher; April 2009; NCERT ,XCR,0,"The author shares her experience of watching her granddaughter, Ayrie, construct knowledge through learning from her surroundings. The author also shares that she was glad to personally witness the child's development of language while she was associated with the National Curriculum Framework (NCF). ",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"constructing, knowledge, language, development, childhood, NCF",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn02CanLearningBeFun.png,02CanLearningBeFun.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/02CanLearningBeFun.pdf,02 Can Learning Be Fun,,,Primary Teacher; April 2009; NCERT ,XCR,0,"Lisa Mohanan, a primary school teacher, shares her experiences of how learning can be fun for children. She discusses the approach she took while teaching a poem, “Ice cream Man” by Rachel Field, to class 5 students, and shows engaging ways of making students learn with activities. ",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"primary, school, teacher, teaching, poetry, activities, class 5, learning, fun ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn03MarjorieSykes.png,03MarjorieSykes.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/03MarjorieSykes.pdf,"03 Eminent Indian Educationists : Their Life and Thoughts
(Marjorie Sykes - A Profile)",,,Primary Teacher; April 2009; NCERT ,XCR,0,"The article talks about Marjorie Sykes, an eminent educationist, who brought about a change in the education system in India. A multi-faceted personality, she strove to educate for simplicity, beauty and equity. ",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"Marjorie, Sykes, educationist, India, Quaker movement, education ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn04EducationSchoolAndTeacher.png,04EducationSchoolAndTeacher.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/04EducationSchoolAndTeacher.pdf,"04 Education, School and Teacher",,,Primary Teacher; April 2009; NCERT ,XCR,0,The article explores the role of school in influencing the education system and teacher as an individual. It also analyzes how the three have interchangeable and interdependent roles. ,,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"role, school, education, teacher, interdependent",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn05AllEqualAllDifferent.png,05AllEqualAllDifferent.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/05AllEqualAllDifferent.pdf,"05 All Equal, All Different",,,Primary Teacher; April 2009; NCERT ,XCR,0,The paper sheds light on understanding the concept of inclusion with the help of different approaches. It clarifies the idea of 'difference' and the teacher's role in adopting the different approaches to dissolve difference. ,,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"difference, equal, inclusion, special, education",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn06EarlyChildhoodEducationArePreschoolers.png,06EarlyChildhoodEducationArePreschoolers.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/06EarlyChildhoodEducationArePreschoolers.pdf,"06 Early Childhood Education
Are Pre-schoolers (Ready for Formal Learning of 3R's)",,,Primary Teacher; April 2009; NCERT ,XCR,0,"The 3Rs of learning are reading, writing and arithmetic, which are considered to be foundational subjects for a young learner before entering into formal school. In this article, the author critically examines the ways and means to develop readiness skills in language and mathematics as a precursor to entry into primary schools.",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"3Rs, arithmetic, reading, writing, ECE, early childhood, primary, school,  learning ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn07TakingEducationToTheStreet.png,07TakingEducationToTheStreet.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/07TakingEducationToTheStreet.pdf,"07 Butterflies Programme:
Taking Education to the Street and Working Children",,,Primary Teacher; April 2009; NCERT ,XCR,0,"Butterflies is a voluntary organisation is directed towards
providing equitable, quality education, through Child Right Facilitators. The educational  programme is based on Mahatma Gandhi’s beliefs, highlights the curriculum and approach to teaching-learning wherein libraries, Maths and Language corners, games and sports and inculcation of life skills are mapped out. ",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"Butterflies, child, rights, facilitator, curriculum, teaching, learning, under privileged, children ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn08DramaAndTeachingOfEnglish.png,08DramaAndTeachingOfEnglish.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/08DramaAndTeachingOfEnglish.pdf,08 Drama and Teaching of English,,,Primary Teacher; April 2009; NCERT ,XCR,0,"Including drama in the teaching of second language, here English,  fosters social, intellectual and linguistic development of the child. Drama activities enables the learners to engage holistically with the second language. ",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"drama, teaching, learning, joyful, development, second, language, English",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/6/tn/tn09DidYouKnow.png,09DidYouKnow.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/6/09DidYouKnow.pdf,09 Did you Know? ,,,Primary Teacher; April 2009; NCERT ,XCR,0,"The article offers facts and tips for teachers regarding assessment, creating child-centric classrooms, communication and feedback and reflection by the teacher. It delves deep into these concepts to reflect upon the ways how the teaching-learning process can go beyond the conventional methods of teaching and assessment. ",,"('en', 'English')",All,Education ,Tertiary,Teachers,Documents,Expositive,NCERT,,"teachers, students, conventional, methods, assessment ",,,,,,,,,,CC BY-SA,,,
