Name,Altnames,Affiliated Colleges,H.No/Street,Village,Taluka,Town/City,District,State,Pin,Country
Agra University,,Agra College; St. John's College,,,,,,Uttar Pradesh,,India
Dr. Babasaheb Ambedkar Marathwada University,,"Matsyodari Shikshan Sanstha's Arts, Commerce & Science College; Shiv Chhatrapati College; Vasant Rao Naik Mahavidyalaya; Vivekanand Arts, Sardar Dalip Singh Commerce & Science College",,,,,,Maharashtra,,India
Hemchandracharya North Gujarat University,Hemandracharya N. Gujarat University,Arts College Shamlaji; Shri & Smt. PK Kotawala Arts College; Shri VR Patel College of Commerce,,,,,,Gujarat,,India
Jai Narain Vyas University,J.N.V. University,Kamla Nehru College for Women; Faculty of Arts,,,,,,Rajasthan,,India
Kolhan University,,Jamshedpur Women's College; L. B. S. M. College; The Graduate School College For Women,,,,,,Jharkhand,,India
Magadh University,Magadha University,Mahila College; Gaya College; Sri Mahanth Shatanand Giri College,,,,,,Bihar,,India
Mumbai University,Mumbai & Thane Region,"Comrade Godavari Shamrao Parulekar College of Arts, Commerce & Science; Sree Narayana Guru College of Commerce; N.G. Acharya and D.K. Marathe College of Arts, Science and Commerce",,,,,,Maharashtra,,India
Pandit Ravishankar Shukla University,Pt. Ravishankar Shukla University,Kalyan Post Graduate College; Govt. Mahaprabhu Vallabhacharya Post Graduate College,,,,,,Chhattisgarh,,India
Ranchi University,,Marwari College; Ranchi Women's College; Ranchi College; Nirmala College,,,,,,Jharkhand,,India
Rani Durgavati University,Rani Durgawati University,Govt. Mahakoshal Arts and Commerce College; Govt. Rani Durgavati Post Graduate College; Rani Durgawati Vishwavidyalaya,,,,,,Madhya Pradesh,,India
Utkal University,,Baba Bhairabananda Mahavidyalaya; Balugaon College; City Women's College,,,,,,Odisha,,India
