thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
,,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/cc01NothingStoppedThem.png,Primary Teacher; July 2009; NCERT ,Primary Teacher; July 2009; NCERT ,,,XCR,0,Primary Teacher; July 2009 Journal published by NCERT ,,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"Professor Tuli, professor, doctor, patient, inspiration, equal, children, examples, parents, teachers, Sri Aurobindo, life, education, vision, case studies, inclusive, learning, environments, government, schools, states, CMP, flagship, programme, Kendriya Vidyalayas, improvement, quality, education, review, MID, project, reflective, essays, Vidyankura, Bangalore, National Institute of Advanced Studies, Case, study, class 3, Hari, parent, teacher, meetings, effective, Case, study, framework, action, research, elementary, teachers, importance, class 3, Hari, parent, teacher, EENET, inclusive, classroom, accessible, meetings, effective, Child Friendly Communities, CFC, Vietnam, right, children, free, compulsory, education, 2009",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn01NothingStoppedThem.png,01NothingStoppedThem.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/01NothingStoppedThem.pdf,"01 Nothing Stopped Them from Becoming
What They Are",,,Primary Teacher; July 2009; NCERT ,XCR,0,"The article tells an inspirational story of Professor Tuli, whose unending efforts towards his profession makes him truly exceptional. Both as a professor and a doctor, he patiently listens to his students and patients and never gets tired of  his profession.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"Professor Tuli, professor, doctor, patient, inspiration",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn02KidsoorjaWhereEachChildIsSpecial.png,02KidsoorjaWhereEachChildIsSpecial.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/02KidsoorjaWhereEachChildIsSpecial.pdf,02 Kid's Oorja - Where Each Child is Special,,,Primary Teacher; July 2009; NCERT ,XCR,0,"The article shows how each and every child is special, and all require the same nurturing. It cites instances to highlight how both parents and teachers are responsible for a child's development and behaviour.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"equal, children, examples, parents, teachers",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn03SriAurobindoHisVisionForEducation.png,03SriAurobindoHisVisionForEducation.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/03SriAurobindoHisVisionForEducation.pdf,"03 Eminent Indian Educationists
Their Life and Thoughts
(Sri Aurobindo : His Vision for Education)",,,Primary Teacher; July 2009; NCERT ,XCR,0,The article throws light on the life of Sri Aurobindo and his vision of education. His educational vision is an integration of his views on Internal Yoga and his philosophy of life.,,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"Sri Aurobindo, life, education, vision",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn04SaveTheChildrenLprogrammeForPromoting.png,04SaveTheChildrenLprogrammeForPromoting.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/04SaveTheChildrenLprogrammeForPromoting.pdf,"04 Save the Children Programme for Promoting Child Rights :
Case Studies of Maharashtra and Gujarat",,,Primary Teacher; July 2009; NCERT ,XCR,0,This article presents the initiative through two Case Studies that provide a glimpse into the project. One of the key objectives of the project was to build inclusive learning friendly environments within primary government schools of the States.,,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"case studies, inclusive, learning, environments, government, schools, states",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn05OneStepTowardsJoyfulLearningInKendriyaVidyalayas.png,05OneStepTowardsJoyfulLearningInKendriyaVidyalayas.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/05OneStepTowardsJoyfulLearningInKendriyaVidyalayas.pdf,05 One Step Towards Joyful Learning in Kendriya Vidyalayas: The Common Minimum Programme,,,Primary Teacher; July 2009; NCERT ,XCR,0,"'Common Minimum Programme (CMP) is a new flagship programme for qualitative improvement of primary education. It has been launched
by KVS, an autonomous body under the Ministry of Human Resource
Development. The article gives us a glimpse into the project and its successful implementation.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"CMP, flagship, programme, Kendriya Vidyalayas, improvement, quality, education",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn06DistrictQualityEducationProject.png,06DistrictQualityEducationProject.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/06DistrictQualityEducationProject.pdf,"06 District Quality Education Project Chamarajanagar:
Learning from Teachers' Own Experiences",,,Primary Teacher; July 2009; NCERT ,XCR,0,"This article is a review of ‘MID PROJECT Reflective Essays’ written by teachers
involved in the project entitled “Vidyankura”, a District Quality Education Project
undertaken by the National Institute of Advanced Studies, Bangalore in 2006.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"review, MID, project, reflective, essays, Vidyankura, Bangalore, National Institute of Advanced Studies",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn07ParentTeacherMeetingAtThePrimaryStage.png,07ParentTeacherMeetingAtThePrimaryStage.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/07ParentTeacherMeetingAtThePrimaryStage.pdf,"07 Parent–Teacher Meetings
Bridging the Home–School Boundaries",,,Primary Teacher; July 2009; NCERT ,XCR,0,"This article is a case study of Hari, a student of class III in a private
school. It addresses the learning problem faced by him. Also, it discusses the problems linked with the organisation and conduct of parent–teacher meetings. Lastly, it also offers suggestions to make parents–teachers' meeting more effective.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"Case, study, class 3, Hari, parent, teacher, meetings, effective",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn08ActionResearch.png,08ActionResearch.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/08ActionResearch.pdf,"08 Action Research: A Tool for Improving Quality of
Elementary Education",,,Primary Teacher; July 2009; NCERT ,XCR,0,"This article discusses the conceptual framework of action research, while it explains the importance of action research undertaken by elementary teachers.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"framework, action, research, elementary, teachers, importance",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn09TheEnablingEducationNetwork.png,09TheEnablingEducationNetwork.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/09TheEnablingEducationNetwork.pdf,09 The Enabling Education Network,,,Primary Teacher; July 2009; NCERT ,XCR,0,The most pressing concern in the field of education is: How do we make our classrooms inclusive and reach out to all children? The article explores Enabling Education Network (EENET) that makes accessible information across our region on building inclusive classrooms.,,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"EENET, inclusive, classroom, accessible",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn10CreatingChildFriendly.png,10CreatingChildFriendly.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/10CreatingChildFriendly.pdf,"10 Creating Child Friendly Communities in Mountainous Ethnic
Minority Areas of Vietnam",,,Primary Teacher; July 2009; NCERT ,XCR,0,"This article focuses on the rationale and the process of creating Child Friendly
Communities (CFC). It does away, however, with the description of the activities implemented.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"Child Friendly Communities, CFC, Vietnam",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Documents/PT/7/tn/tn11DidYouKnowTheRightOfChildrenToFreeAndCompulsory.png,11DidYouKnowTheRightOfChildrenToFreeAndCompulsory.pdf,http://125.23.112.6/nroer-new/XCR/Documents/PT/7/11DidYouKnowTheRightOfChildrenToFreeAndCompulsory.pdf,11 Did You Know,,,Primary Teacher; July 2009; NCERT ,XCR,0,"The article informs the reader about The Right of Children to Free and Compulsory Education Act, 2009. The document provides information on the various aspects of rights of children to free and compulsory education.",,"('en', 'English')",All,Education,Tertiary,Teachers,Documents,Expositive,NCERT,,"right, children, free, compulsory, education, 2009",,,,,,,,,,CC BY-SA,,,
